date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:23	105204/105204	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jul%202020%2009:47:23%20GMT	https://www.alicedriver.com/	C:/Users/ABC/Desktop/rbot/Alice/www.alicedriver.com/index.html	(from )
15:17:24	201/201	---M-Z	200	added ('OK')	text/plain	date:Fri,%2024%20Jul%202020%2013:48:04%20GMT	https://www.alicedriver.com/robots.txt		(from )
15:17:24	1098/1098	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jul%202020%2009:47:24%20GMT	https://www.alicedriver.com/version-1595628784	C:/Users/ABC/Desktop/rbot/Alice/www.alicedriver.com/version-1595628784	(from https://www.alicedriver.com/)
15:17:25	29572/29572	---M-Z	200	added ('OK')	text/css	etag:%225e6fd0fa-797%22	https://static2.format.com/static/theme_api/v1/hosted_fonts-eb726384a2140ff00e23f669c05ec8f0e6cdd3bebab581a38dbe829184a2aa4f.css	C:/Users/ABC/Desktop/rbot/Alice/static2.format.com/static/theme_api/v1/hosted_fonts-eb726384a2140ff00e23f669c05ec8f0e6cdd3bebab581a38dbe829184a2aa4f.css	(from https://www.alicedriver.com/)
15:17:26	1098/1098	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jul%202020%2009:47:25%20GMT	https://www.alicedriver.com/gecko/	C:/Users/ABC/Desktop/rbot/Alice/www.alicedriver.com/gecko/index.html	(from https://www.alicedriver.com/)
15:17:26	1098/1098	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jul%202020%2009:47:25%20GMT	https://www.alicedriver.com/mozilla/	C:/Users/ABC/Desktop/rbot/Alice/www.alicedriver.com/mozilla/index.html	(from https://www.alicedriver.com/)
15:17:26	1098/1098	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jul%202020%2009:47:25%20GMT	https://www.alicedriver.com/applewebkit/	C:/Users/ABC/Desktop/rbot/Alice/www.alicedriver.com/applewebkit/index.html	(from https://www.alicedriver.com/)
15:17:27	121770/121770	---M-Z	200	added ('OK')	text/css	etag:%22576a994f-1937%22	https://static1.format.com/static/theme_api/vendor/webtype_fonts.min-51d9b9edb8f956fb39da113609d790ba607fa4fbda053af8e378bb9233ef4a39.css	C:/Users/ABC/Desktop/rbot/Alice/static1.format.com/static/theme_api/vendor/webtype_fonts.min-51d9b9edb8f956fb39da113609d790ba607fa4fbda053af8e378bb9233ef4a39.css	(from https://www.alicedriver.com/)
15:17:27	352/352	---M--	200	added ('OK')	image/png	etag:%225e1f4a6d-160%22	https://static0.format.com/static/favicon-16-58eeac03d06e2402c16e494e44623ab6da7b9e6749eafd5e67b6508888c13452.png	C:/Users/ABC/Desktop/rbot/Alice/static0.format.com/static/favicon-16-58eeac03d06e2402c16e494e44623ab6da7b9e6749eafd5e67b6508888c13452.png	(from https://www.alicedriver.com/)
15:17:27	575/575	---M--	200	added ('OK')	image/png	etag:%225e1f4a6a-23f%22	https://static1.format.com/static/favicon-32-7b151b5cb1ea57453cf4f6e4dca6e59f40b326568045ed7ee8e2da4ad0096e63.png	C:/Users/ABC/Desktop/rbot/Alice/static1.format.com/static/favicon-32-7b151b5cb1ea57453cf4f6e4dca6e59f40b326568045ed7ee8e2da4ad0096e63.png	(from https://www.alicedriver.com/)
